nwm,"Name, God Consciousness, Divine Presence",Gurbani,2
rhwau,"Pause, (marks chorus, or main theme line)",Gurbani,8
mhlw,"Identifies which Guru is author, neighborhood",Gurbani,2
rwm,"God, All pervading Divine Spirit",Gurbani,2
gurmuK,In tune with the Guru,Gurbani,7
pRB,"Beloved, Master",Gurbani,1
sdw,Always,Gurbani,2
siqgur,"True or Perfect Guru, God",Gurbani,8
jIau,soul or life; respectful and affectionate apelation (Jee in MP),Gurbani,8
ibnu,without,Gurbani,8
jn,"(devoted) servant, slave",Gurbani,1
sB,all,Gurbani,1
mih,"in (preposition), within",Gurbani,3
scu,"true, eternal",Gurbani,7
ko,"to (pp - noo in MP), any or which (koee in MP)",Gurbani,15
sbid,"Word, Naam",Gurbani,3
suK,"happiness, peace",Gurbani,7
miweAw,"worldly entanglements, illusionary & transient",Gurbani,4
sMg,"with, close",Gurbani,19
hau,I or me (pronoun),Gurbani,7
prswd,"grace, kindness, mercy",Gurbani,2
soeI,that one,Gurbani,16
ikrpw,"kindness, mercy",Gurbani,4
sMq,"saintly person in tune with God, often used for Guru",Gurbani,19
AMqr,"within, in (MP - vich)",Gurbani,19
Bgq,"devotee of God, saintly person",Gurbani,1
isau,"(pp) to, with (MP - noo)",Gurbani,8
ikAw,what (MP - kee),Gurbani,4
sgl,all,Gurbani,1
haumY,"ego, pride, sense of I (separate from God & creation or from others)",Gurbani,14
pweIAY,obtain,Gurbani,14
hy,O (form of address),Gurbani,11
Gr,home,Gurbani,1
Sbd,"Word, Gurbani, Naam",Gurbani,1
iml,meet,Gurbani,3
hm,"We, I",Gurbani,1
khu,"says, say  (kehna - to say)",Gurbani,7
duK,"sorrow, suffering",Gurbani,7
AwvY,"comes (aanaa, aavnaa - to come)",Gurbani,14
BweI,"brother, friend (used as address)",Gurbani,6
suAwmI,"Master, Lord, Husband; (syn - thakur) (MP- maalik)",Gurbani,8
Awsw,"hope, desire",Gurbani,2
srb,all,Gurbani,1
qn,body,Gurbani,1
nit,daily - (MP - roz) (syn andin),Gurbani,3
BwvY,"to ge pleasing, appeal to",Gurbani,14
pweIAY,obtain,Gurbani,14
Bey,become,Gurbani,11
pUrn,"complete, perfect",Gurbani,9
rs,"delicious taste, enjoyment, spiritual rapture",Gurbani,1
ilv,deep continuous love and absorption,Gurbani,3
iPr,again,Gurbani,3
syvw,service,Gurbani,12
jnm,birth,Gurbani,1
jIA,"living being, tongue, soul",Gurbani,5
bwxI,"speech, Word",Gurbani,6
shij,"state of peace and balance, tranquility, spontaneous, naturally - with the flow, in tune with the Infinite",Gurbani,3
nwau,"Naam, name",Gurbani,8
eyk,one (MP - ik),Gurbani,11
krih,karnaa - to do,Gurbani,3
AwieAw,aanaa - to come,Gurbani,4
krm,"grace, action",Gurbani,1
rMg,"dye, love",Gurbani,19
Anidnu,daily,Gurbani,8
crn,"feet - symbolizes devotion, humility",Gurbani,1
Amirq,"nectar, immortality",Gurbani,3
duK,"suffering, unhappiness",Gurbani,7
swD,"saintly person,",Gurbani,2
kIAw,"action, (MP - keeta)",Gurbani,6
krqw,creator,Gurbani,2
p@Iq,love,Gurbani,5
Avru,other,Gurbani,7
Bwie,pleases; will; love (doojaa bhaai - duality),Gurbani,4
vsY,"live, abide",Gurbani,13
ivc,"in, within",Gurbani,3
mq,"wisdom, not",Gurbani,1
ipAwry,beloved,Gurbani,12
purK,"person, being, God",Gurbani,7
jm,"death, messenger of death",Gurbani,1
vifAweI,"greatness, glory",Gurbani,6
koਁt,millions (lit. 10 million),Gurbani,15
mhw,great,Gurbani,2
joq,light,Gurbani,15
ihrdY,"(in the) heart, mind (MP - dil) abbrev: ridai",Gurbani,14
inrml,pure (mal=impurity),Gurbani,3
BY,fear ; syn - bhau,Gurbani,13
ndr,grace,Gurbani,1
dUjw,"second, other, duality",Gurbani,10
pq,honor,Gurbani,1
gurmq,"the Guru""s teaching, wisdom",Gurbani,7
muK,"mouth, face, word",Gurbani,7
bl,"strenght, power; sacrifice (balihaaree)",Gurbani,1
Bau,fear (bhaao - love),Gurbani,7
Bgq,"devotee of God, saintly person",Gurbani,1
dwqw,"giver,",Gurbani,2
gq,"state, emancipation",Gurbani,1
dws,"(devoted) servant, slave",Gurbani,2
dieAwl,"kind, generous",Gurbani,4
mnmuK,"self-willed, (opp. of Gurmukh)",Gurbani,7
sq,truth,Gurbani,1
ibD,"Method, way",Gurbani,3
smwie,absorbed in,Gurbani,4
jg,world,Gurbani,1
dr,"door, portal",Gurbani,1
Agm,incomprehensible (attribute of God); unapproachable,Gurbani,1
hukm,"command, will",Gurbani,7
kml,lotus,Gurbani,1
Twkur,Master,Gurbani,8
jb,when,Gurbani,1
icq,"mind, heart",Gurbani,3
ieh,this,Gurbani,3
dwn,"charity, gift",Gurbani,2
ibK,"poison, sin",Gurbani,3
Dn,wealth; blessed; wife or woman,Gurbani,1
myl,union; melnaa - to unite,Gurbani,11
drigh,court,Gurbani,3
igAwn,"knowledge, realization",Gurbani,4
mrY,dies (marnaa - to die),Gurbani,13
rqy,"steeped, absorbed",Gurbani,11
idn,day,Gurbani,3
Aq,very,Gurbani,1
ismr,"remember with love, hold in your heart, meditate",Gurbani,3
Adr,"in, within",Gurbani,1
moh,"attachment, excessive unhealthy love; mohnaa - to attract or fascinate",Gurbani,15
inD,treasure,Gurbani,3
swDsgq,holy company,Gurbani,2
iliKAw,"written, destined (likhna- to write)",Gurbani,4
mr,marnaa - to die; janam maran = birth & death,Gurbani,1
dIn,"poor, humble; religion, spiritual world",Gurbani,5
js,glory,Gurbani,1
iDAwieAw,"meditate on, remember, repeat name",Gurbani,4
Gt,"vessel, heart, being",Gurbani,1
jau,if,Gurbani,7
pMc,"five, select",Gurbani,19
goibd,"God (var - Govind, Govinda)",Gurbani,16
pwp,sin,Gurbani,2
pwr,"beyond, other shore",Gurbani,2
swihb,"Master, lord, term of respect",Gurbani,4
dieAw,mercy,Gurbani,4
khw,where,Gurbani,2
mwr,kill,Gurbani,2
rsnw,"tongue, speech",Gurbani,2
Dur,"destined, primal",Gurbani,7
BI,also (MP: vee),Gurbani,5
Bau,love,Gurbani,7
qb,then,Gurbani,1
pwrb´hm,"God, Transcendental Reality",Gurbani,2
ipr,Divine Spouse,Gurbani,3
inDwn,treasure,Gurbani,4
Cof,"abandon, leave",Gurbani,15
sgq,"association, company",Gurbani,1
