Gr,ਘਰ,"House, Home",1
jl,ਜਲ,"Water",1
kl,ਕਲ,"Tomorrow",1
Ql,ਥਲ,"Land",1
mn,ਮਨ,"Mind",1
sc,ਸਚ,"Truth",1
nr,ਨਰ,"Human",1
fr,ਡਰ,"Fear",1
ds,ਦਸ,"10 or Ten",1
qn,ਤਨ,"Body",1
krm,ਕਰਮ,"Deed",1
Drm,ਧਰਮ,"Religion or Righteousness",1
klm,ਕਲਮ,"Pen",1
grm,ਗਰਮ,"Hot",1
kml,ਕਮਲ,"Lotus",1
sVk,ਸੜਕ,"Road",1
sbr,ਸਬਰ,"Patience",1
kr,ਕਰ,"Do",2
cl,ਚਲ,"Walk",2
gl,ਗਲ,"Talk",2
ds,ਦਸ,"Tell",2
Pl,ਫਲ,"Fruit",2
Cq,ਛਤ,"Roof",2
hl,ਹਲ,"Plough",2
Akl,ਅਕਲ,"Wisdom",2
Brm,ਭਰਮ,"Illusion",2
Skl,ਸ਼ਕਲ,"Face",2
jgq,ਜਗਤ,"World",2
sPr,ਸਫਰ,"Journey",2
drKq,ਦਰਖਤ,"Tree",2
ksrq,ਕਸਰਤ,"Exercise",2
grdn,ਗਰਦਨ,"Neck",2
Srbq,ਸ਼ਰਬਤ,"Syrup, Juice",2
drSn,ਦਰਸ਼ਨ,"Glimpse, Sight",2
mwqw,ਮਾਤਾ,"Mother",3
rwg,ਰਾਗ,"Melody (Raag)",3
kwl,ਕਾਲ,"Time",3
jwl,ਜਾਲ,"Trap",3
nwm,ਨਾਮ,"Name",3
rwj,ਰਾਜ,"Kingdom",3
dws,ਦਾਸ,"Disciple",3
swD,ਸਾਧ,"Saint",3
bwz,ਬਾਜ਼,"Eagle",3
hrw,ਹਰਾ,"Green",3
kVw,ਕੜਾ,"Iron bangle worn by Sikhs, which represents the creator is infinite/limitless and also stops bad deeds.",3
kmwl,ਕਮਾਲ,"Wonderful",3
Akwl,ਅਕਾਲ,"Timeless (from 'ਅਕਾਲ ਪੁਰਖ' Almighty God)",3
kwrj,ਕਾਰਜ,"Work",3
mwrg,ਮਾਰਗ,"Path",3
kpVw,ਕਪੜਾ,"Cloth",3
bwjwr,ਬਾਜਾਰ,"Market",3
kwgz,ਕਾਗਜ਼,"Paper",3
Awsrw,ਆਸਰਾ,"Support",3
dsqwr,ਦਸਤਾਰ,"Turban",3
ilK,ਲਿਖ,"Write",4
iPr,ਫਿਰ,"Again",4
iQr,ਥਿਰ,"Stable",4
ipqw,ਪਿਤਾ,"Father",4
ikrpwn,ਕਿਰਪਾਨ,"Sikh symbol of power and freedom of spirit, and a reminder to fight injustice and oppression.",4
ikqwb,ਕਿਤਾਬ,"Book",4
ikrq,ਕਿਰਤ,"Work",4
mihr,ਮਹਿਰ,"Grace",4
dieAw,ਦਇਆ,"Mercy, Compassion",4
inrml,ਨਿਰਮਲ,"Pure",4
kCihrw,ਕਛਹਿਰਾ,"Cotton shorts worn by Sikhs as a symbol of pure and righteous character.",4
srIr,ਸਰੀਰ,"Body",4
pwxI,ਪਾਣੀ,"Water",4
kmweI,ਕਮਾਈ,"Earning",4
SkqI,ਸ਼ਕਤੀ,"Power",4
ibjlI,ਬਿਜਲੀ,"Electricity",4
BgqI,ਭਗਤੀ,"Worship",4
kIrqn,ਕੀਰਤਨ,"Keertan, the melodious way of singing Gurbani (the praises of the Almighty God)",4
mskIn,ਮਸਕੀਨ,"Humble, meek",4
pgVI,ਪਗੜੀ,"Turban",4
KuS,ਖੁਸ਼,"Happy",5
duD,ਦੁਧ,"Milk",5
cup,ਚੁਪ,"Silence",5
rumwl,ਰੁਮਾਲ,"Handkerchief",5
cqur,ਚਤੁਰ,"Clever, Smart",5
hukm,ਹੁਕਮ,"The eternal order",5
gulwb,ਗੁਲਾਬ,"Rose",5
pusqk,ਪੁਸਤਕ,"Book",5
nukswn,ਨੁਕਸਾਨ,"Loss",5
gurUduAwrw,ਗੁਰੂਦੁਆਰਾ,"Gurudwara, Sikh Holy place of Worship",5
dUr,ਦੂਰ,"Far, Away",5
nUr,ਨੂਰ,"Glow/Light on one's face",5
bwpU,ਬਾਪੂ,"Father",5
AwlU,ਆਲੂ,"Potato",5
BwlU,ਭਾਲੂ,"Bear",5
sUrq,ਸੂਰਤ,"Facial appearance",5
mUrK,ਮੂਰਖ,"Fool",5
qrbUj,ਤਰਬੂਜ,"Watermelon",5
kbUqr,ਕਬੂਤਰ,"Pigeon",5
zrUrq,ਜ਼ਰੂਰਤ,"Need, Neccessity",5
kys,ਕੇਸ,"Uncut hair (the first of the 5 K’s in Sikhism) which symbolizes the adoption of a simple life and denial of pride in one’s appearance. It is believed that the long hair is a sign of a Sikh’s commitment and devotion to his/her Guru.",6
mylw,ਮੇਲਾ,"Fair",6
ryl,ਰੇਲ,"Train",6
qyl,ਤੇਲ,"Oil",6
syb,ਸੇਬ,"Apple",6
kylw,ਕੇਲਾ,"Banana",6
svyr,ਸਵੇਰ,"Morning",6
hnyrw,ਹਨੇਰਾ,"Darkness",6
prySwn,ਪਰੇਸ਼ਾਨ,"Worried",6
prdyS,ਪਰਦੇਸ਼,"Foreign",6
pYr,ਪੈਰ,"Foot",6
mYl,ਮੈਲ,"Dirt, Dust",6
BYx,ਭੈਣ,"Sister",6
vYr,ਵੈਰ,"Enmity",6
pYsy,ਪੈਸੇ,"Money",6
AYnk,ਐਨਕ,"Spectacles",6
hYrwn,ਹੈਰਾਨ,"Shocked",6
mYdwn,ਮੈਦਾਨ,"Ground",6
pYdl,ਪੈਦਲ,"Pedestrial, (walking) on foot",6
inrvYr,ਨਿਰਵੈਰ,"Without Enmity",6
mor,ਮੋਰ,"Peacock",7
cor,ਚੋਰ,"Thief",7
rotI,ਰੋਟੀ,"Chapati, Flat Round Bread",7
qoqw,ਤੋਤਾ,"Parrot",7
GoVw,ਘੋੜਾ,"Horse",7
Sor,ਸ਼ੋਰ,"Noise",7
Koqw,ਖੋਤਾ,"Donkey",7
poqrw,ਪੋਤਰਾ,"Grandson",7
poqrI,ਪੋਤਰੀ,"Granddaughter",7
AKrot,ਅਖਰੋਟ,"Walnut",7
sOKw,ਸੌਖਾ,"Easy",7
AOKw,ਔਖਾ,"Tough, Difficult",7
dOV,ਦੌੜ,"Race, Run",7
kOx,ਕੌਣ,"Who",7
&OjI,ਫ਼ੌਜੀ,"Soldier",7
AOrq,ਔਰਤ,"Women",7
hQOVw,ਹਥੌੜਾ,"Hammer",7
iKfOxw,ਖਿਡੌਣਾ,"Toy",7
cOkIdwr,ਚੌਕੀਦਾਰ,"Watchman",7
sOdwgr,ਸੌਦਾਗਰ,"Trader",7
kwN,ਕਾਂ,"Crow",8
gwN,ਗਾਂ,"Cow",8
CwN,ਛਾਂ,"Shadow",8
gyNd,ਗੇਂਦ,"Ball",8
bwNdr,ਬਾਂਦਰ,"Monkey",8
kMGw,ਕੰਘਾ,"Wooden Comb, which symbolizes cleanliness and the importance of discipline.",8
rMg,ਰੰਗ,"Color",8
cMn,ਚੰਨ,"Moon",8
bsMq,ਬਸੰਤ,"Spring",8
jMgl,ਜੰਗਲ,"Jungle",8
s`p,ਸੱਪ,"Snake",8
A`K,ਅੱਖ,"Eye",8
ic`TI,ਚਿੱਠੀ,"Letter",8
ib`lI,ਬਿੱਲੀ,"Cat",8
im`qr,ਮਿੱਤਰ,"Friend",8
AimRq,ਅਮ੍ਰਿਤ,"Beyond Death, Holy Nectar taken by Sikh’s when they get Amritpaan (baptised)",8
pVH,ਪੜ੍ਹ,"Read",8
sÍYjIvnI,ਸ੍ਵੈਜੀਵਨੀ,"Auto-biography",8
jVH,ਜੜ੍ਹ,"Root",8
sÍr,ਸ੍ਵਰ,"Vowel",8
Gr jw,ਘਰ ਜਾ,"Go Home",9
jg PV,ਜਗ ਫੜ,"Hold the Jug",9
nwm jp,ਨਾਮ ਜਪ,"Chant the name",9
kMGw kr,ਕੰਘਾ ਕਰ,"Do Comb",9
pgVI bMn,ਪਗੜੀ ਬੰਨ,"Tie Turban",9
rotI Kw,ਰੋਟੀ ਖਾ,"Eat Chapati/Roti",9
kIrqn kr,ਕੀਰਤਨ ਕਰ,"Do Keertan",9
ic`TI pV,ਚਿੱਠੀ ਪੜ,"Read the letter",9
klm nwl ilK,ਕਲਮ ਨਾਲ ਲਿਖ,"Write with Pen",9
gurUduAwry jw,ਗੁਰੂਦੁਆਰੇ ਜਾ,"Go to Gurudwara",9
hrw rumwl PV,ਹਰਾ ਰੁਮਾਲ ਫੜ,"Hold the Green Handkerchief",9
bwNdr kylw Kw,ਬਾਂਦਰ ਕੇਲਾ ਖਾ,"Monkey eat Banana",9
im`qr syb Kw,ਮਿੱਤਰ ਸੇਬ ਖਾ,"Friend eat Apple",9
kwN rotI Kw,ਕਾਂ ਰੋਟੀ ਖਾ,"Crow eat Chapati/Roti",9
gwN duD dy,ਗਾਂ ਦੁਧ ਦੇ,"Cow give Milk",9
cor dOV igAw,ਚੋਰ ਦੌੜ ਗਿਆ,"Thief ran away",9
AjIq pusqk pVH,ਅਜੀਤ ਪੁਸਤਕ ਪੜ੍ਹ,"Ajeet read the book",9
BwlU pYdl cl,ਭਾਲੂ ਪੈਦਲ ਚਲ,"Bear walk on foot",9
